Codigo;produto;QTD.;Vlr Unit.
20541;  CR. HID. MUNDIAL PES E MAOS 2;11;10
26429;  FINALIZADOR BIO EXT 500ML MEL;1;55
27957;  H SPRAY CHARMING 150ML FORTE;3;31
17173;  ISDIN FOTOPROT FPS 99+FL 50ML;1;150
25679;  OLEO LAVANDA CAB CORPO 100ML;3;9
28719;  ROUPA INT BIGFRAL FEM MOVIME ;10;26
29981;  SAB VITAMINA C ANTI IDADE;4;10
35876; (P02275) OLEO MILAGROSO SUPER;1;22,01
35685; (VA4023) CREME ULTRA HIDRAT P/;1;17,5
35686; (VA4024) CREME HIDRAT PARA AFI;2;17,5
35687; (VA4026) LOCAO PARA AFINAR OS;24;11
35688; (VA4027) SABONETE FACIAL VIT C;2;33
35692; (VA4035) GEL SECATIVO PARA ACN;3;36
35693; (VA4036) BASTAO SECATIVO PARA;1;29
35700; (VA4060) BODY SPLASH DESOD MAR;1;35
35701; (VA4062) ESFOLIANTE VANILLA FA;2;36
35702; (VA4064) ESFOLIANTE MARACUJA F;2;36
36115; - PROT SOLAR SUNDOWN FPS50 100;3;42,5
36116; - PROT SOLAR SUNDOWN FPS60 KID;1;50
36801; 10 BI IMUNE 30CPR   MOME SS;1;201
17620; 20 BI 335MG 30CAP;5;295
30121; 401E PANTURRILHA EXTRA GRANDE;2;193
30728; 5 MAGNESIOS C/60 DUOM;3;35
15265; AAS INF.100MG C/30 COM;3;29,22
9741; AAS PROTECT C/ 30 COMPR;4;24,13
4427; ABC CREME 20G ( CLOTRIMAZOL );1;14,15
8337; ABC SPRAY 30ML(CLOTRIMAZOL);3;32
27882; ABIDOR 750MG 20CPR PARACETAMOL;1;10
4385; ABLOK 25MG C/30 COMP;2;16,54
17528; ABLOK PLUS 25/12,5MG 60 CO;2;54,84
5819; ABLOK PLUS 25/12,5MG C/30 COMP;1;27,4
14024; ABLOK PLUS 50/12,5MG C/ 60 COM;1;101,29
3127; ABLOK PLUS 50/12,5MG C/30 CPS;1;50,61
3801; ABRILAR XPE 100ML;1;58,66
19607; ABS ALWAYS C/ 8 UN SECA;1;5
14675; ABS ALWAYS C/ABA NOT 16UN;1;18
12683; ABS ALWAYS NOT SEC C/32 P28 N;1;34
